污染物測值月報表
資料時間：2024年5日
"測站","SO2平均值","SO2最大值","CO平均值","CO最大值","O3平均值","O3最大值","NO2平均值","NO2最大值","PM10平均值","PM10最大值","PM2.5平均值","PM2.5最大值"
基隆,0.99,4.9,0.27,0.61,36.48,98.7,7.31,30.3,22.2,80,8.4,35
陽明,0.84,3.8,0.19,0.49,47.02,101.5,1.92,22.6,14.4,80,6.3,40
松山,1.11,7.6,0.29,0.81,34.61,107.9,13.52,34.6,24.8,74,14.5,55
古亭,1.35,12.7,0.29,0.83,35.97,101.6,12.51,43.2,22.7,74,12.2,40
中山,0.87,3.4,0.4,1.1,33.78,89.8,16.29,42.6,24.7,75,11.2,42
大同,1.17,4.1,0.77,3.15,25.21,78.7,23.42,58.2,30.8,83,17.2,40
士林,0.84,4.7,0.27,0.67,38.66,96.6,10.63,35.8,22,69,12.1,34
萬華,0.81,4,0.39,0.97,36.21,91,15.99,43.3,25,74,13.4,39
萬里,1.12,7.4,0.2,0.41,42.86,105,3.95,15.9,29.2,121,8.3,31
土城,0.89,11.1,0.34,0.83,37.36,104,11.48,35.2,27.1,123,15.9,101
三重,1.05,5.5,0.79,2.07,22.14,74.8,29.12,70.2,26.8,115,13.1,91
永和,1.26,9.7,0.5,2.17,34.32,83.1,13.77,50.1,21.5,74,10.9,37
板橋,0.84,8.3,0.39,1.11,36.45,106,14.26,45.5,24.3,226,11.2,195
林口,0.88,3.5,0.26,0.96,40.29,98.7,10.71,39.7,20.7,59,11,35
汐止,1.08,11,0.27,0.77,33.25,103.6,12.95,36.8,23.1,75,11.8,55
新店,1.04,6.4,0.28,0.65,39.21,114.2,9.11,34,22.4,64,13.1,39
新莊,0.7,3.9,0.33,1.29,37.74,101.6,11.97,42.4,23.5,156,13.3,140
菜寮,1.13,5.2,0.37,1.16,37.82,94.9,14,40.5,24.7,174,11,147
淡水,1.24,3.9,0.29,0.73,37.59,87.9,9.22,29.1,25.2,107,11.4,52
富貴角,0.26,2.2,0.15,0.38,52.28,106.2,2.03,14.9,29.5,95,8.9,32
桃園,1.65,7.5,0.35,0.92,38.13,96.1,12.91,40.1,24.3,68,12.8,38
平鎮,1.01,5.4,0.33,0.81,38.22,102.7,13.05,40.3,25.7,69,10.7,33
中壢,1.57,5.8,0.75,2.46,26.14,82.4,23.68,54.1,28.9,84,14.6,41
大園,1.48,4.1,0.25,0.89,38.02,95.3,13.05,50.8,26.1,71,11,32
龍潭,1.49,4.5,0.29,0.69,38.77,100.2,11.32,32.7,26.1,72,12.5,39
觀音,1.05,21.4,0.19,0.75,41.03,91.6,8.48,33.9,25.1,130,12.8,136
新竹,1.13,3.9,0.3,0.7,38.01,87.5,11.02,32.6,23.1,73,12.5,48
竹東,0.65,3.9,0.24,0.49,35.53,95,6.55,20.6,22.8,70,14.5,56
湖口,1.46,6.7,0.25,0.58,40.6,89.7,8.6,29.2,24.3,73,14.8,54
苗栗,1.73,6.1,0.22,0.52,38.26,91,8.03,23.1,27.5,84,14.3,38
頭份,1.68,8.2,0.26,0.56,37.33,93.9,8.48,24.2,28.9,73,13.1,38
三義,1.07,3.4,0.24,0.64,40.16,103.5,5.01,22.1,23.5,72,12.6,41
豐原,1.22,6.5,0.28,0.55,38.17,108.6,7.93,20,30,78,14.4,44
大里,1.48,6.3,0.35,0.76,33.42,101.9,12.66,32.5,31.8,85,16.6,47
忠明,1.58,8.6,0.34,0.84,35.5,98.4,12.7,34.2,30.3,71,13.9,35
西屯,1.34,9.3,0.28,0.66,36.17,98.1,12.19,34,33.8,77,15.7,37
沙鹿,1.19,8.4,0.28,0.76,38.2,91.7,10.07,33.9,33,92,14.8,42
南投,0.87,4.3,0.28,0.55,34.51,103.1,9.98,25.7,35.3,74,15.5,40
埔里,1.2,4.1,0.26,0.46,33.44,99.6,4.95,13.3,28.6,63,16.7,39
竹山,1.16,4.5,0.23,0.58,35.02,109,7.41,17.6,35.2,80,20.1,55
